title,id,description,image_link,price,availability,link
Collar de perlas y cuero / collar para la mujer / collar de perlas,13,"Maravilloso collar de perlas realizado en semi-cuero perlas y piedra. La mezcla de colores crea un elemento elegante que combina a la perfección con casi todos los vestidos y cuellos.

materiales
Semi-cuero
Perlas
Piedras plateadas
Piedras brillantes
Broche de plata de 925


x",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2061348799.jpg,22.0,in stock,https://muyaya.es#!/Collar-de-perlas-y-cuero-collar-para-la-mujer-collar-de-perlas/p/260831504
Collar De Piedras Rojas Con Corazón De Bronce,65,"Collar de mujer con colgante de bronce para cualquier ocasión. Esta pieza ha sido creada a mano. Formado por una cadena dorada y un colgante cortado a mano en bonce tallado y envejecido. Trabajo de orfebrería a mano
Hay que entender que la pieza es cortada moldeada y trabaja a mano desde un elemento en crudo. Se tardan varias horas en poder realizar esta obra.

materiales
Cadena dorada
Colgante de bronce creado a mano
Piedras rojas
Dijes de bronce


",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2115019997.jpg,15.0,in stock,https://muyaya.es#!/Collar-De-Piedras-Rojas-Con-Corazón-De-Bronce/p/315824045
Collar Mascarilla De Plata 925 12mm / Cadena para Mascarilla De Plata 925 12mm,49,"La Collar para mascarilla de plata 925 para que nunca se te pierda esa pieza que todos tenemos que llevar estos días. Con esta cadena de plata serás siempre la más deseada. El lujo que tú te mereces. Combina perfectamente con cualquier diseño. La cadena viene en dos formatos con cierres grandes de 12mm o pequeños de 7mm

Materiales
Cadena bañada en Plata de 925. 100g 70cm de largo y 12mm
Broches de Plata de 925 de 7mm o 12mm

",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2051182662.jpg,20.0,in stock,https://muyaya.es#!/Collar-Mascarilla-De-Plata-925-12mm-Cadena-para-Mascarilla-De-Plata-925-12mm/p/297187111
collar para a mujer / collar con dije / collar con cristal,35,"Colgante gargantilla para cualquier ocasión creado a mano. Formado por una cadena plateada y un colgante de piedra de cristal traslucido que genera un bellísima obra.

materiales
Cadena plateada
Colgante de cristal


",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/1940134312.jpg,15.0,in stock,https://muyaya.es#!/collar-para-a-mujer-collar-con-dije-collar-con-cristal/p/286653022
Collar Plateado De Piedras Volcánicas Azules,66,"Collar de mujer creando a mano con piedras volcánicas azules cándenla plateada y pedrería metálica. La combinación es perfecta y queda bien con una camiseta y con un jersey al igual que con un vestido.

materiales
Cadena plateada
Piedras volcánicas azules
Pedrería metálica


",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2115048535.jpg,12.0,in stock,https://muyaya.es#!/Collar-Plateado-De-Piedras-Volcánicas-Azules/p/315847086
Cordón de Mascarilla de hilo / sujeta máscaras / sostén mascarilla,33,"Cordón de mascarilla para que nunca se te pierda esa pieza que todos tenemos que llevar estos días. Cadena de hilo creada a mano con vivos colores que harán de la desagradable experiencia de llevar una mascarilla algo divertido alegre y elegante. Combina perfectamente con cualquier diseño.

Materiales
Hilo de algodón
Broches plateados


",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2038118584.jpg,10.0,in stock,https://muyaya.es#!/Cordón-de-Mascarilla-de-hilo-sujeta-máscaras-sostén-mascarilla/p/282573534
Cordón de Mascarilla de hilo / sujeta máscaras / sostén mascarilla,64,"Cordón de mascarilla para que nunca se te pierda esa pieza que todos tenemos que llevar estos días. Cadena de hilo creada a mano con vivos colores que harán de la desagradable experiencia de llevar una mascarilla algo divertido alegre y elegante. Combina perfectamente con cualquier diseño.

Materiales
Hilo de algodón
Broches plateados

",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2075866028.jpg,10.0,in stock,https://muyaya.es#!/Cordón-de-Mascarilla-de-hilo-sujeta-máscaras-sostén-mascarilla/p/308060168
Cordón de Mascarilla Texto Configurable / sujeta máscaras / sostén mascarilla,73,"Cordón para mascarilla para que nunca se te pierda esa pieza que todos tenemos que llevar estos días. Cadena dorada con piezas rojas y blancas que harán de la desagradable experiencia. Calaveras colores y tienes la posibilidad de elegir el texto que quieras. Combina perfectamente con cualquier diseño.

Materiales
Cadena dorada
Broches dorados

",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2470625579.jpg,16.0,in stock,https://muyaya.es#!/Cordón-de-Mascarilla-Texto-Configurable-sujeta-máscaras-sostén-mascarilla/p/381367507
Cordón Para Mascarilla / sujeta máscaras / sostén mascarilla,72,"Cordón para mascarilla para que nunca se te pierda esa pieza que todos tenemos que llevar estos días. Cadena dorada con piezas rojas y blancas que harán de la desagradable experiencia de llevar una mascarilla algo divertido alegre y elegante. Combina perfectamente con cualquier diseño.

Materiales
Cadena dorada
Broches dorados

",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2451922218.jpg,12.0,in stock,https://muyaya.es#!/Cordón-Para-Mascarilla-sujeta-máscaras-sostén-mascarilla/p/381383010
gargantilla negra / cadena con bola negra / gargantilla mujer,34,"Esta gargantilla negra vale para cualquier ocasión creado a mano. Formado por una cadena creada con cristal checho dorado y una bola negra que termina la obra. Queda perfectamente con cualquier modelo. El colgante es una bola negra de 1.5cm de diámetro

materiales
Cristal checo dorado
Dije en forma de bola negro


",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/1934606523.jpg,9.0,in stock,https://muyaya.es#!/gargantilla-negra-cadena-con-bola-negra-gargantilla-mujer/p/284558735
